sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,year
56,477183,4676203,0,0,0,2014
57,478730,4675441,0,0,0,2014
58,481877,4674153,0,0,0,2014
59,138680,4678680,0,0,0,2014
60,142938,4679417,0,0,0,2014
61,145958,4679197,NA,0,0,2014
62,251602,4679059,0,0,0,2014
63,255587,4678131,0,0,0,2014
64,258770,4677105,0,0,0,2014
65,301106,4679688,0,0,0,2014
66,303543,4677838,0,0,0,2014
67,324359,4680466,0,0,0,2014
68,328277,4679741,0,0,0,2014
69,331609,4679632,0,0,0,2014
70,335550,4678226,0,0,0,2014
71,341401,4677604,0,0,0,2014
72,342962,4678610,0,0,0,2014
73,346558,4678262,0,0,0,2014
74,350840,4679164,0,0,0,2014
75,378559,4679104,0,0,0,2014
76,382145,4678870,0,0,0,2014
77,398513,4678815,NA,0,0,2014
78,440180,4678907,0,0,0,2014
79,444261,4679592,0,0,0,2014
80,448243,4678206,0,0,0,2014
81,452022,4679914,0,0,0,2014
82,469029,4679893,0,0,0,2014
83,470386,4680092,0,0,0,2014
84,482941,4676999,0,0,0,2014
85,488147,4678442,0,0,0,2014
86,128917,4681784,0,0,0,2014
87,134402,4682705,0,0,0,2014
88,169606,4681026,0,0,0,2014
89,173629,4682926,0,0,0,2014
90,226233,4682752,0,0,0,2014
91,230112,4683973,0,0,0,2014
92,234630,4683355,0,0,0,2014
93,289919,4682303,0,0,0,2014
94,292872,4683529,0,0,0,2014
95,297709,4682894,0,0,0,2014
96,300952,4681839,0,0,0,2014
97,325485,4683039,0,0,0,2014
98,328478,4682046,0,0,0,2014
99,332442,4682592,0,0,0,2014
100,335395,4682980,0,0,0,2014
101,340581,4683075,0,0,0,2014
102,343169,4683209,0,0,0,2014
103,379882,4682649,0,0,0,2014
104,381552,4682064,0,0,0,2014
105,394475,4682060,0,0,0,2014
106,398237,4681642,0,0,0,2014
107,410480,4681913,0,0,0,2014
108,435724,4683092,0,0,0,2014
109,440414,4682538,0,0,0,2014
110,443537,4681786,0,0,0,2014
111,448436,4683002,0,0,0,2014
112,451237,4682348,0,NA,0,2014
113,456230,4681845,0,0,0,2014
114,466558,4680907,0,0,0,2014
115,471399,4682711,0,0,NA,2014
116,484304,4681275,0,0,0,2014
117,486394,4682040,0,0,0,2014
118,492058,4683265,0,0,0,2014
119,495440,4682431,0,0,0,2014
120,119465,4686619,0,0,0,2014
121,122477,4686713,0,0,0,2014
122,126054,4686417,0,0,0,2014
123,129320,4684600,0,0,0,2014
124,135624,4686013,0,0,0,2014
125,173595,4686806,0,0,0,2014
126,226432,4685319,0,0,0,2014
127,232197,4688201,0,0,0,2014
128,269517,4687171,0,0,0,2014
129,285822,4686012,0,0,0,2014
130,289095,4685927,0,0,0,2014
131,296984,4686065,0,0,0,2014
132,301690,4686356,0,0,0,2014
133,305187,4685786,0,0,0,2014
134,320077,4686507,0,0,0,2014
135,325578,4685874,0,0,0,2014
136,329833,4686969,0,0,0,2014
137,332105,4684505,0,0,0,2014
138,335538,4686876,0,0,NA,2014
139,361836,4684774,0,0,0,2014
140,366786,4687171,0,0,0,2014
141,371292,4687152,0,0,0,2014
142,378550,4686975,0,0,0,2014
143,382020,4686010,0,0,0,2014
144,386231,4686087,0,0,0,2014
145,395659,4688343,0,0,0,2014
146,398954,4685866,0,0,0,2014
147,406263,4687371,0,0,0,2014
148,409535,4687692,0,0,0,2014
149,413370,4687689,0,0,0,2014
150,445272,4686525,0,0,0,2014
151,449715,4687282,0,0,0,2014
152,481415,4686857,0,0,0,2014
153,485402,4686735,0,0,0,2014
154,491344,4686277,0,0,0,2014
155,493461,4687540,0,0,0,2014
156,499436,4686428,0,0,0,2014
157,509862,4685780,0,0,0,2014
158,118929,4691076,NA,0,0,2014
159,123046,4691043,0,0,NA,2014
160,127502,4691441,0,0,0,2014
161,130225,4690206,0,0,0,2014
162,135465,4691261,0,0,0,2014
163,138543,4690089,0,0,0,2014
164,154871,4689763,0,0,0,2014
165,157840,4689400,0,0,0,2014
166,170843,4690380,0,0,0,2014
167,171759,4689350,0,0,0,2014
168,188255,4690640,0,0,0,2014
169,219935,4690638,0,0,0,2014
170,224702,4691985,0,0,0,2014
171,229311,4691426,0,0,0,2014
172,230441,4690391,0,0,0,2014
173,233733,4688748,0,0,0,2014
174,250980,4689157,0,0,0,2014
175,255373,4689244,0,0,0,2014
176,264043,4691106,0,0,0,2014
177,266232,4691891,0,0,0,2014
178,269638,4690444,0,0,0,2014
179,285950,4691037,0,0,0,2014
180,293286,4686585,0,0,0,2014
181,297796,4691522,0,0,0,2014
182,289016,4702563,0,0,0,2014
183,323010,4690798,0,0,0,2014
184,329384,4689633,0,0,0,2014
185,332794,4691738,0,0,0,2014
186,335770,4689490,0,0,0,2014
187,339827,4691191,0,0,0,2014
188,359183,4693148,0,0,0,2014
189,364264,4691282,0,0,0,2014
190,366933,4690577,0,0,0,2014
191,382590,4690198,0,0,0,2014
192,387174,4690340,0,0,0,2014
193,404665,4689399,0,0,0,2014
194,408586,4690657,0,0,0,2014
195,297175,4709169,0,0,0,2014
196,421182,4688875,0,0,0,2014
197,425736,4690961,0,0,0,2014
198,452637,4690118,0,0,0,2014
199,455757,4690366,0,0,0,2014
200,493597,4689237,0,0,0,2014
201,498675,4691309,0,0,0,2014
202,502023,4690195,0,0,0,2014
203,510369,4690911,NA,NA,0,2014
204,513414,4689732,0,0,0,2014
205,521918,4690077,0,0,0,2014
206,150641,4693350,0,0,0,2014
207,154265,4695656,0,0,0,2014
208,158261,4693672,0,0,0,2014
209,162081,4693977,0,0,0,2014
